Event	ID	Name			Wwise Object Path	Notes
	582941242	Play_SFX_Door_Pyramid_Open			\SFX_WU\Play_SFX_Door_Pyramid_Open	
	1447435678	Play_SFX_Door_Pyramid_Close			\SFX_WU\Play_SFX_Door_Pyramid_Close	
	1623238786	Play_SFX_Button_Backstage			\SFX_WU\Play_SFX_Button_Backstage	
	2496075354	Play_SFX_HourGlass_Destruction_2D			\SFX_WU\Play_SFX_HourGlass_Destruction_2D	
	2563465684	Play_SFX_HourGlass_Idle_LP			\SFX_WU\Play_SFX_HourGlass_Idle_LP	
	3780890544	Play_SFX_EndCinematic			\SFX_WU\Play_SFX_EndCinematic	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	57706824	SFX_BlackSand_Glitchy_2s_Stereo_06	C:\Github Repos\BlackSands\DiamondProjectTeam03_WwiseProject\.cache\Mac\SFX\SFX_BlackSand_Glitchy_2s_Stereo_06_818F3B66.wem		\Actor-Mixer Hierarchy\SFX_WU\SFX\SFX_BlackSand_Texture\Glitchy_Stereo\SFX_BlackSand_Glitchy_2s_Stereo_06		683064
	418805659	SFX_BlackSand_Glitchy_2s_Stereo_04	C:\Github Repos\BlackSands\DiamondProjectTeam03_WwiseProject\.cache\Mac\SFX\SFX_BlackSand_Glitchy_2s_Stereo_04_818F3B66.wem		\Actor-Mixer Hierarchy\SFX_WU\SFX\SFX_BlackSand_Texture\Glitchy_Stereo\SFX_BlackSand_Glitchy_2s_Stereo_04		690016
	460314317	SFX_BlackSand_Glitchy_2s_Stereo_02	C:\Github Repos\BlackSands\DiamondProjectTeam03_WwiseProject\.cache\Mac\SFX\SFX_BlackSand_Glitchy_2s_Stereo_02_818F3B66.wem		\Actor-Mixer Hierarchy\SFX_WU\SFX\SFX_BlackSand_Texture\Glitchy_Stereo\SFX_BlackSand_Glitchy_2s_Stereo_02		672704
	482790053	SFX_Door_Pyramid_Open	C:\Github Repos\BlackSands\DiamondProjectTeam03_WwiseProject\.cache\Mac\SFX\MC\SFX_Door_Pyramid_Open_818F3B66.wem		\Actor-Mixer Hierarchy\SFX_WU\SFX\SFX_Door_Pyramid_Open		443904
	498448547	SFX_BlackSand_Glitchy_2s_Stereo_01	C:\Github Repos\BlackSands\DiamondProjectTeam03_WwiseProject\.cache\Mac\SFX\SFX_BlackSand_Glitchy_2s_Stereo_01_818F3B66.wem		\Actor-Mixer Hierarchy\SFX_WU\SFX\SFX_BlackSand_Texture\Glitchy_Stereo\SFX_BlackSand_Glitchy_2s_Stereo_01		666696
	640927559	SFX_Button_Backstage	C:\Github Repos\BlackSands\DiamondProjectTeam03_WwiseProject\.cache\Mac\SFX\SFX_Button_Backstage_818F3B66.wem		\Actor-Mixer Hierarchy\SFX_WU\SFX\SFX_Button_Backstage		90260
	794556847	SFX_HourGlass_Idle_LP	C:\Github Repos\BlackSands\DiamondProjectTeam03_WwiseProject\.cache\Mac\SFX\MC\SFX_HourGlass_Idle_LP_FBC78EF0.wem		\Actor-Mixer Hierarchy\SFX_WU\SFX\SFX_HourGlass_Idle_LP		6044636
	846163179	SFX_EndCinematic	C:\Github Repos\BlackSands\DiamondProjectTeam03_WwiseProject\.cache\Mac\SFX\MC\SFX_EndCinematic_818F3B66.wem		\Actor-Mixer Hierarchy\SFX_WU\SFX\SFX_EndCinematic		6380692
	862611700	SFX_Door_Pyramid_Close	C:\Github Repos\BlackSands\DiamondProjectTeam03_WwiseProject\.cache\Mac\SFX\MC\SFX_Door_Pyramid_AA228216.wem		\Actor-Mixer Hierarchy\SFX_WU\SFX\SFX_Door_Pyramid_Close		522996
	1013981530	SFX_BlackSand_Glitchy_2s_Stereo_05	C:\Github Repos\BlackSands\DiamondProjectTeam03_WwiseProject\.cache\Mac\SFX\SFX_BlackSand_Glitchy_2s_Stereo_05_818F3B66.wem		\Actor-Mixer Hierarchy\SFX_WU\SFX\SFX_BlackSand_Texture\Glitchy_Stereo\SFX_BlackSand_Glitchy_2s_Stereo_05		687216
	1028643509	SFX_BlackSand_Glitchy_2s_Stereo_03	C:\Github Repos\BlackSands\DiamondProjectTeam03_WwiseProject\.cache\Mac\SFX\SFX_BlackSand_Glitchy_2s_Stereo_03_818F3B66.wem		\Actor-Mixer Hierarchy\SFX_WU\SFX\SFX_BlackSand_Texture\Glitchy_Stereo\SFX_BlackSand_Glitchy_2s_Stereo_03		703156
	1049815799	SFX_HourGlass_Destruction_2D	C:\Github Repos\BlackSands\DiamondProjectTeam03_WwiseProject\.cache\Mac\SFX\MC\SFX_HourGlass_Destruction_2D_818F3B66.wem		\Actor-Mixer Hierarchy\SFX_WU\SFX\SFX_HourGlass_Destruction_2D		3577400

